index,source,timestamp,values
14968,heart_rate,2017-07-01 21:49:03.168,"['64.0', '1']"
14969,heart_rate,2017-07-01 21:49:03.184,"['64.0', '3']"
14970,heart_rate,2017-07-01 21:49:03.187,"['64.0', '2']"
14971,heart_rate,2017-07-01 21:49:03.218,"['63.0', '2']"
14972,heart_rate,2017-07-01 21:49:03.235,"['62.0', '2']"
14973,heart_rate,2017-07-01 21:49:03.238,"['61.0', '2']"
14974,heart_rate,2017-07-01 21:49:03.254,"['62.0', '2']"
14975,heart_rate,2017-07-01 21:49:03.257,"['62.0', '1']"
14976,heart_rate,2017-07-01 21:49:03.286,"['63.0', '1']"
14977,heart_rate,2017-07-01 21:49:03.294,"['65.0', '1']"
14978,heart_rate,2017-07-01 21:49:03.306,"['64.0', '1']"
14979,heart_rate,2017-07-01 21:49:03.309,"['63.0', '1']"
14980,heart_rate,2017-07-01 21:49:03.313,"['62.0', '3']"
14981,heart_rate,2017-07-01 21:49:03.316,"['61.0', '3']"
14982,heart_rate,2017-07-01 21:49:03.325,"['62.0', '2']"
14983,heart_rate,2017-07-01 21:49:03.333,"['62.0', '1']"
14984,heart_rate,2017-07-01 21:49:03.352,"['61.0', '1']"
14985,heart_rate,2017-07-01 21:49:03.364,"['63.0', '1']"
14986,heart_rate,2017-07-01 21:49:03.367,"['64.0', '1']"
14987,heart_rate,2017-07-01 21:49:03.371,"['65.0', '1']"
14988,heart_rate,2017-07-01 21:49:03.415,"['65.0', '2']"
14989,heart_rate,2017-07-01 21:49:03.482,"['65.0', '1']"
14990,heart_rate,2017-07-01 21:49:03.577,"['64.0', '1']"
14991,heart_rate,2017-07-01 21:49:03.592,"['63.0', '1']"
14992,heart_rate,2017-07-01 21:49:03.601,"['62.0', '1']"
14993,heart_rate,2017-07-01 21:49:03.604,"['61.0', '1']"
14994,heart_rate,2017-07-01 21:49:03.607,"['59.0', '1']"
14995,heart_rate,2017-07-01 21:49:03.628,"['58.0', '1']"
14996,heart_rate,2017-07-01 21:49:03.644,"['60.0', '3']"
14997,heart_rate,2017-07-01 21:49:03.647,"['61.0', '2']"
14998,heart_rate,2017-07-01 21:49:03.652,"['62.0', '3']"
14999,heart_rate,2017-07-01 21:49:03.655,"['61.0', '3']"
15000,heart_rate,2017-07-01 21:49:03.659,"['62.0', '3']"
15001,heart_rate,2017-07-01 21:49:03.667,"['63.0', '3']"
15002,heart_rate,2017-07-01 21:49:03.670,"['62.0', '3']"
15003,heart_rate,2017-07-01 21:49:03.681,"['61.0', '3']"
15004,heart_rate,2017-07-01 21:49:03.684,"['61.0', '2']"
15005,heart_rate,2017-07-01 21:49:03.692,"['62.0', '2']"
15006,heart_rate,2017-07-01 21:49:03.695,"['63.0', '3']"
15007,heart_rate,2017-07-01 21:49:03.700,"['64.0', '2']"
15008,heart_rate,2017-07-01 21:49:03.730,"['64.0', '1']"
15009,heart_rate,2017-07-01 21:49:03.737,"['63.0', '1']"
15010,heart_rate,2017-07-01 21:49:03.766,"['65.0', '1']"
15011,heart_rate,2017-07-01 21:49:03.777,"['66.0', '1']"
15012,heart_rate,2017-07-01 21:49:03.780,"['65.0', '1']"
15013,heart_rate,2017-07-01 21:49:03.782,"['66.0', '1']"
15014,heart_rate,2017-07-01 21:49:03.786,"['65.0', '1']"
15015,heart_rate,2017-07-01 21:49:03.795,"['65.0', '3']"
15016,heart_rate,2017-07-01 21:49:03.798,"['63.0', '3']"
15017,heart_rate,2017-07-01 21:49:03.800,"['62.0', '1']"
15018,heart_rate,2017-07-01 21:49:03.806,"['63.0', '1']"
15019,heart_rate,2017-07-01 21:49:03.809,"['60.0', '1']"
15020,heart_rate,2017-07-01 21:49:03.828,"['59.0', '1']"
15021,heart_rate,2017-07-01 21:49:03.875,"['60.0', '1']"
15022,heart_rate,2017-07-01 21:49:03.885,"['61.0', '2']"
15023,heart_rate,2017-07-01 21:49:03.893,"['61.0', '1']"
15024,heart_rate,2017-07-01 21:49:03.912,"['60.0', '1']"
15025,heart_rate,2017-07-01 21:49:03.915,"['59.0', '1']"
15026,heart_rate,2017-07-01 21:49:03.919,"['58.0', '1']"
15027,heart_rate,2017-07-01 21:49:03.924,"['57.0', '1']"
15028,heart_rate,2017-07-01 21:49:03.942,"['57.0', '2']"
15029,heart_rate,2017-07-01 21:49:03.965,"['57.0', '1']"
15030,heart_rate,2017-07-01 21:49:04.000,"['56.0', '1']"
15031,heart_rate,2017-07-01 21:49:04.008,"['55.0', '1']"
15032,heart_rate,2017-07-01 21:49:04.015,"['56.0', '1']"
15033,heart_rate,2017-07-01 21:49:04.022,"['58.0', '1']"
15034,heart_rate,2017-07-01 21:49:04.025,"['59.0', '1']"
15035,heart_rate,2017-07-01 21:49:04.030,"['60.0', '1']"
15036,heart_rate,2017-07-01 21:49:04.037,"['61.0', '1']"
15037,heart_rate,2017-07-01 21:49:04.044,"['62.0', '1']"
15038,heart_rate,2017-07-01 21:49:04.047,"['61.0', '3']"
15039,heart_rate,2017-07-01 21:49:04.068,"['61.0', '1']"
15040,heart_rate,2017-07-01 21:49:04.108,"['62.0', '1']"
15041,heart_rate,2017-07-01 21:49:04.126,"['61.0', '2']"
15042,heart_rate,2017-07-01 21:49:04.139,"['60.0', '2']"
15043,heart_rate,2017-07-01 21:49:04.142,"['59.0', '1']"
15044,heart_rate,2017-07-01 21:49:04.212,"['60.0', '1']"
15045,heart_rate,2017-07-01 21:49:04.229,"['61.0', '1']"
15046,heart_rate,2017-07-01 21:49:04.259,"['60.0', '1']"
15047,heart_rate,2017-07-01 21:49:04.265,"['61.0', '1']"
15048,heart_rate,2017-07-01 21:49:04.267,"['62.0', '1']"
15049,heart_rate,2017-07-01 21:49:04.302,"['61.0', '1']"
15050,heart_rate,2017-07-01 21:49:04.309,"['62.0', '1']"
15051,heart_rate,2017-07-01 21:49:04.312,"['61.0', '1']"
15052,heart_rate,2017-07-01 21:49:04.315,"['62.0', '1']"
15053,heart_rate,2017-07-01 21:49:04.338,"['61.0', '1']"
15054,heart_rate,2017-07-01 21:49:04.341,"['62.0', '1']"
15055,heart_rate,2017-07-01 21:49:04.364,"['62.0', '3']"
15056,heart_rate,2017-07-01 21:49:04.368,"['61.0', '3']"
15057,heart_rate,2017-07-01 21:49:04.384,"['61.0', '1']"
15058,heart_rate,2017-07-01 21:49:04.387,"['62.0', '1']"
