index,activity_type,duration,from,to,comment
19,Train,00:17,2017-07-10 12:47,2017-07-10 13:04,
20,Walk,00:02,2017-07-10 12:36,2017-07-10 12:38,
21,In bus,00:08,2017-07-10 12:28,2017-07-10 12:36,
0,Movie,01:39,2017-07-11 21:36,2017-07-11 23:16,
1,In bus,00:38,2017-07-11 17:26,2017-07-11 18:05,
2,Shopping& wearing,01:43,2017-07-11 15:38,2017-07-11 17:21,
3,In bus,00:19,2017-07-11 15:10,2017-07-11 15:29,
4,Pause,00:20,2017-07-11 14:10,2017-07-11 14:31,
5,Eat,00:19,2017-07-11 13:15,2017-07-11 13:34,Approximately
6,Cooking,00:30,2017-07-11 12:43,2017-07-11 13:14,
0,Video games,00:41,2017-07-12 21:09,2017-07-12 21:51,
1,In bus,00:31,2017-07-12 18:39,2017-07-12 19:10,
2,In vehicle,00:05,2017-07-12 18:22,2017-07-12 18:27,
3,Meeting,01:21,2017-07-12 17:00,2017-07-12 18:21,
4,Walk,00:14,2017-07-12 16:40,2017-07-12 16:55,
5,In bus,00:28,2017-07-12 16:12,2017-07-12 16:40,
6,Eat,00:06,2017-07-12 15:58,2017-07-12 16:04,
7,Cooking,00:33,2017-07-12 14:45,2017-07-12 15:19,
8,Eat,00:14,2017-07-12 13:24,2017-07-12 13:39,
9,In computer,00:48,2017-07-12 13:24,2017-07-12 14:12,
10,Pause,00:36,2017-07-12 12:28,2017-07-12 13:04,
11,In computer,00:04,2017-07-12 12:23,2017-07-12 12:27,
0,Running,00:21,2017-06-29 21:59,2017-06-29 22:20,
1,In bus,00:12,2017-06-29 21:24,2017-06-29 21:36,
2,Walking&party,04:37,2017-06-29 16:45,2017-06-29 21:22,
3,In bus,00:32,2017-06-29 16:12,2017-06-29 16:44,
4,Eat,00:08,2017-06-29 13:36,2017-06-29 13:44,
5,At home,02:39,2017-06-29 13:28,2017-06-29 16:07,
6,In bus,00:22,2017-06-29 13:02,2017-06-29 13:24,
7,On bus stop,00:18,2017-06-29 12:44,2017-06-29 13:02,
8,Took off glasses,00:08,2017-06-29 12:21,2017-06-29 12:29,
9,Shop,00:28,2017-06-29 12:12,2017-06-29 12:40,
10,Walk,01:52,2017-06-29 11:09,2017-06-29 13:01,
11,In vehicle,00:21,2017-06-29 10:46,2017-06-29 11:07,
12,Eat,00:20,2017-06-29 09:57,2017-06-29 10:17,
0,Walking&party,04:58,2017-06-30 21:50,2017-07-01 02:48,
1,Train,00:31,2017-06-30 21:18,2017-06-30 21:49,
2,Meeting,00:42,2017-06-30 19:19,2017-06-30 20:01,
3,Walk,00:07,2017-06-30 19:12,2017-06-30 19:19,
4,In bus,00:21,2017-06-30 18:51,2017-06-30 19:12,
5,At home,01:17,2017-06-30 17:25,2017-06-30 18:42,
6,Eat,00:09,2017-06-30 17:25,2017-06-30 17:34,
7,Walk,00:21,2017-06-30 17:03,2017-06-30 17:25,
8,Train,00:18,2017-06-30 16:45,2017-06-30 17:03,
9,Walk,00:06,2017-06-30 16:34,2017-06-30 16:41,
10,Work,00:51,2017-06-30 15:41,2017-06-30 16:32,
11,Walk,00:05,2017-06-30 15:34,2017-06-30 15:39,
12,Shop,00:10,2017-06-30 15:24,2017-06-30 15:34,
13,Walk,00:04,2017-06-30 15:19,2017-06-30 15:24,
14,In computer,01:15,2017-06-30 14:04,2017-06-30 15:19,
15,In computer,01:26,2017-06-30 12:21,2017-06-30 13:48,
16,Work,02:59,2017-06-30 12:20,2017-06-30 15:19,
17,Walk,00:07,2017-06-30 12:04,2017-06-30 12:12,
18,Train,00:22,2017-06-30 11:42,2017-06-30 12:04,
19,Walk,00:14,2017-06-30 11:27,2017-06-30 11:42,
20,Eat,00:13,2017-06-30 10:54,2017-06-30 11:08,
