,Unnamed: 0.1,Unnamed: 0,index,activity_type,duration,from,to,comment,date,time
56,57,38,9,Walk,00:16,2017-07-04 15:24:00,2017-07-04 15:40:00,,2017-07-04,15:24:00
57,58,37,8,Train,00:25,2017-07-04 15:41:00,2017-07-04 16:07:00,,2017-07-04,15:41:00
58,59,36,7,Walk,00:21,2017-07-04 16:07:00,2017-07-04 16:29:00,,2017-07-04,16:07:00
59,60,35,6,In computer,00:13,2017-07-04 16:49:00,2017-07-04 17:02:00,,2017-07-04,16:49:00
60,61,34,5,In computer,01:13,2017-07-04 17:13:00,2017-07-04 18:26:00,,2017-07-04,17:13:00
61,62,33,4,Walk,00:08,2017-07-04 18:33:00,2017-07-04 18:41:00,,2017-07-04,18:33:00
62,63,32,3,Train,00:21,2017-07-04 18:41:00,2017-07-04 19:03:00,,2017-07-04,18:41:00
63,64,31,2,Walk,00:18,2017-07-04 19:03:00,2017-07-04 19:21:00,,2017-07-04,19:03:00
64,65,29,0,Eat,00:10,2017-07-04 21:05:00,2017-07-04 21:16:00,,2017-07-04,21:05:00
65,66,48,9,Train,00:18,2017-07-05 13:31:00,2017-07-05 13:49:00,,2017-07-05,13:31:00
66,67,47,8,Walk,00:07,2017-07-05 13:49:00,2017-07-05 13:57:00,,2017-07-05,13:49:00
67,68,46,7,Meeting,00:25,2017-07-05 13:57:00,2017-07-05 14:22:00,,2017-07-05,13:57:00
68,69,45,6,In computer,00:16,2017-07-05 14:41:00,2017-07-05 14:58:00,,2017-07-05,14:41:00
69,70,44,5,Walk,00:07,2017-07-05 14:59:00,2017-07-05 15:06:00,,2017-07-05,14:59:00
70,71,43,4,Train,00:18,2017-07-05 15:14:00,2017-07-05 15:32:00,,2017-07-05,15:14:00
71,72,42,3,In bus,00:10,2017-07-05 15:40:00,2017-07-05 15:50:00,,2017-07-05,15:40:00
72,73,41,2,Cooking,00:21,2017-07-05 16:18:00,2017-07-05 16:39:00,,2017-07-05,16:18:00
73,74,40,1,Eat,00:21,2017-07-05 16:39:00,2017-07-05 17:01:00,,2017-07-05,16:39:00
74,75,39,0,Walk,00:14,2017-07-05 17:48:00,2017-07-05 18:03:00,,2017-07-05,17:48:00
75,76,58,9,Walk,00:12,2017-07-06 14:17:00,2017-07-06 14:30:00,,2017-07-06,14:17:00
76,77,57,8,In vehicle,00:22,2017-07-06 14:34:00,2017-07-06 14:57:00,,2017-07-06,14:34:00
77,78,56,7,In vehicle,00:10,2017-07-06 15:01:00,2017-07-06 15:12:00,,2017-07-06,15:01:00
78,79,55,6,In bus,00:17,2017-07-06 15:14:00,2017-07-06 15:31:00,,2017-07-06,15:14:00
79,80,54,5,Walk,00:27,2017-07-06 15:31:00,2017-07-06 15:59:00,,2017-07-06,15:31:00
80,81,53,4,In bus,00:20,2017-07-06 16:08:00,2017-07-06 16:28:00,,2017-07-06,16:08:00
81,82,52,3,In bus,00:36,2017-07-06 17:50:00,2017-07-06 18:26:00,,2017-07-06,17:50:00
82,83,51,2,Walk,00:32,2017-07-06 18:27:00,2017-07-06 18:59:00,,2017-07-06,18:27:00
83,84,50,1,Meeting,02:24,2017-07-06 19:00:00,2017-07-06 21:24:00,,2017-07-06,19:00:00
84,85,49,0,In bus,00:30,2017-07-06 22:06:00,2017-07-06 22:36:00,,2017-07-06,22:06:00
