,index,source,timestamp,values,activity
51126,127514,heart_rate,45:37.6,"['80.0', '2']",In computer
51127,127515,heart_rate,45:37.6,"['80.0', '1']",In computer
51128,127516,heart_rate,45:37.6,"['82.0', '1']",In computer
51129,127517,heart_rate,45:37.6,"['85.0', '1']",In computer
51130,127518,heart_rate,45:37.6,"['84.0', '1']",In computer
51131,127519,heart_rate,45:37.6,"['80.0', '1']",In computer
51132,127520,heart_rate,45:37.6,"['75.0', '1']",In computer
51133,127521,heart_rate,45:37.6,"['72.0', '1']",In computer
51134,127522,heart_rate,45:37.7,"['70.0', '1']",In computer
51135,127523,heart_rate,45:37.7,"['71.0', '1']",In computer
51136,127524,heart_rate,45:37.7,"['70.0', '1']",In computer
51137,127525,heart_rate,45:37.7,"['70.0', '3']",In computer
51138,127526,heart_rate,45:37.7,"['71.0', '3']",In computer
51139,127527,heart_rate,45:37.7,"['72.0', '3']",In computer
51140,127528,heart_rate,45:37.7,"['73.0', '3']",In computer
51141,127529,heart_rate,45:37.7,"['74.0', '3']",In computer
51142,127530,heart_rate,45:37.7,"['73.0', '2']",In computer
51143,127531,heart_rate,45:37.7,"['73.0', '1']",In computer
51144,127532,heart_rate,45:37.7,"['74.0', '1']",In computer
51145,127533,heart_rate,45:37.8,"['75.0', '1']",In computer
51146,127534,heart_rate,45:37.8,"['76.0', '1']",In computer
51147,127535,heart_rate,45:37.8,"['77.0', '1']",In computer
51148,127536,heart_rate,45:37.8,"['76.0', '1']",In computer
51149,127537,heart_rate,45:37.8,"['77.0', '1']",In computer
51150,127538,heart_rate,45:37.8,"['79.0', '1']",In computer
51151,127539,heart_rate,45:37.8,"['80.0', '1']",In computer
51152,127540,heart_rate,45:37.9,"['82.0', '1']",In computer
51153,127541,heart_rate,45:37.9,"['85.0', '1']",In computer
51154,127542,heart_rate,45:37.9,"['86.0', '1']",In computer
51155,127543,heart_rate,45:37.9,"['87.0', '1']",In computer
51156,127544,heart_rate,45:37.9,"['88.0', '1']",In computer
51157,127545,heart_rate,45:37.9,"['90.0', '1']",In computer
51158,127546,heart_rate,45:37.9,"['91.0', '1']",In computer
51159,127547,heart_rate,45:37.9,"['92.0', '1']",In computer
51160,127548,heart_rate,45:37.9,"['93.0', '1']",In computer
51161,127549,heart_rate,45:37.9,"['94.0', '1']",In computer
51162,127550,heart_rate,45:37.9,"['94.0', '3']",In computer
51163,127551,heart_rate,45:37.9,"['95.0', '3']",In computer
51164,127552,heart_rate,45:38.0,"['94.0', '3']",In computer
51165,127553,heart_rate,45:38.0,"['95.0', '3']",In computer
51166,127554,heart_rate,45:38.0,"['94.0', '3']",In computer
51167,127555,heart_rate,45:38.0,"['96.0', '3']",In computer
51168,127556,heart_rate,45:38.0,"['97.0', '2']",In computer
51169,127557,heart_rate,45:38.0,"['97.0', '1']",In computer
51170,127558,heart_rate,45:38.0,"['96.0', '1']",In computer
51171,127559,heart_rate,45:38.0,"['95.0', '1']",In computer
51172,127560,heart_rate,45:38.0,"['94.0', '1']",In computer
51173,127561,heart_rate,45:38.0,"['93.0', '1']",In computer
51174,127562,heart_rate,45:38.0,"['92.0', '1']",In computer
51175,127563,heart_rate,45:38.0,"['91.0', '1']",In computer
51176,127564,heart_rate,45:38.0,"['90.0', '1']",In computer
51177,127565,heart_rate,45:38.0,"['91.0', '1']",In computer
51178,127566,heart_rate,45:38.1,"['90.0', '3']",In computer
51179,127567,heart_rate,45:38.1,"['91.0', '3']",In computer
51180,127568,heart_rate,45:38.1,"['91.0', '1']",In computer
51181,127569,heart_rate,45:38.1,"['90.0', '1']",In computer
51182,127570,heart_rate,45:38.1,"['89.0', '1']",In computer
51183,127571,heart_rate,45:38.2,"['88.0', '1']",In computer
51184,127572,heart_rate,45:38.3,"['87.0', '1']",In computer
51185,127573,heart_rate,45:38.3,"['86.0', '1']",In computer
51186,127574,heart_rate,45:38.3,"['85.0', '1']",In computer
51187,127575,heart_rate,45:38.3,"['86.0', '1']",In computer
51188,127576,heart_rate,45:38.3,"['77.0', '1']",In computer
51189,127577,heart_rate,45:38.3,"['73.0', '1']",In computer
51190,127578,heart_rate,45:38.3,"['71.0', '1']",In computer
51191,127579,heart_rate,45:38.3,"['74.0', '1']",In computer
51192,127580,heart_rate,45:38.3,"['64.0', '1']",In computer
51193,127581,heart_rate,45:38.3,"['74.0', '1']",In computer
51194,127582,heart_rate,45:38.3,"['79.0', '1']",In computer
51195,127583,heart_rate,45:38.3,"['83.0', '1']",In computer
51196,127584,heart_rate,45:38.4,"['84.0', '1']",In computer
51197,127585,heart_rate,45:38.4,"['85.0', '1']",In computer
51198,127586,heart_rate,45:38.4,"['86.0', '2']",In computer
51199,127587,heart_rate,45:38.4,"['86.0', '1']",In computer
51200,127588,heart_rate,45:38.4,"['87.0', '1']",In computer
51201,127589,heart_rate,45:38.4,"['84.0', '1']",In computer
51202,127590,heart_rate,45:38.5,"['81.0', '1']",In computer
51203,127591,heart_rate,45:38.5,"['79.0', '1']",In computer
51204,127592,heart_rate,45:38.5,"['73.0', '1']",In computer
51205,127593,heart_rate,45:38.5,"['66.0', '1']",In computer
51206,127594,heart_rate,45:38.5,"['63.0', '1']",In computer
51207,127595,heart_rate,45:38.5,"['61.0', '1']",In computer
51208,127596,heart_rate,45:38.5,"['67.0', '1']",In computer
51209,127597,heart_rate,45:38.5,"['70.0', '1']",In computer
51210,127598,heart_rate,45:38.5,"['71.0', '1']",In computer
51211,127599,heart_rate,45:38.6,"['69.0', '1']",In computer
51212,127600,heart_rate,45:38.6,"['67.0', '1']",In computer
51213,127601,heart_rate,45:38.6,"['66.0', '1']",In computer
51214,127602,heart_rate,45:38.6,"['65.0', '1']",In computer
51215,127603,heart_rate,45:38.6,"['63.0', '2']",In computer
51216,127604,heart_rate,45:38.6,"['63.0', '1']",In computer
51217,127605,heart_rate,45:38.6,"['61.0', '1']",In computer
51218,127606,heart_rate,45:38.6,"['65.0', '1']",In computer
51219,127607,heart_rate,45:38.6,"['66.0', '1']",In computer
51220,127608,heart_rate,45:38.6,"['65.0', '1']",In computer
51221,127609,heart_rate,45:38.6,"['64.0', '1']",In computer
51222,127610,heart_rate,45:38.6,"['65.0', '1']",In computer
51223,127611,heart_rate,45:38.6,"['69.0', '1']",In computer
51224,127612,heart_rate,45:38.8,"['68.0', '1']",In computer
51225,127613,heart_rate,45:38.8,"['66.0', '1']",In computer
51226,127614,heart_rate,45:38.8,"['72.0', '1']",In computer
51227,127615,heart_rate,45:38.8,"['76.0', '1']",In computer
51228,127616,heart_rate,45:38.8,"['80.0', '1']",In computer
51229,127617,heart_rate,45:38.8,"['81.0', '1']",In computer
51230,127618,heart_rate,45:38.8,"['82.0', '1']",In computer
51231,127619,heart_rate,45:38.8,"['83.0', '1']",In computer
51232,127620,heart_rate,45:38.8,"['81.0', '1']",In computer
51233,127621,heart_rate,45:38.8,"['80.0', '1']",In computer
51234,127622,heart_rate,45:38.8,"['88.0', '2']",In computer
51235,127623,heart_rate,45:38.8,"['89.0', '2']",In computer
51236,127624,heart_rate,45:38.8,"['90.0', '3']",In computer
51237,127625,heart_rate,45:38.8,"['89.0', '3']",In computer
51238,127626,heart_rate,45:38.9,"['89.0', '2']",In computer
51239,127627,heart_rate,45:38.9,"['89.0', '1']",In computer
51240,127628,heart_rate,45:38.9,"['88.0', '1']",In computer
51241,127629,heart_rate,45:38.9,"['87.0', '1']",In computer
51242,127630,heart_rate,45:38.9,"['86.0', '1']",In computer
51243,127631,heart_rate,45:39.0,"['85.0', '1']",In computer
51244,127632,heart_rate,45:39.0,"['84.0', '1']",In computer
51245,127633,heart_rate,45:39.0,"['77.0', '1']",In computer
51246,127634,heart_rate,45:39.0,"['76.0', '1']",In computer
51247,127635,heart_rate,45:39.0,"['75.0', '1']",In computer
51248,127636,heart_rate,45:39.0,"['65.0', '1']",In computer
51249,127637,heart_rate,45:39.0,"['63.0', '1']",In computer
51250,127638,heart_rate,45:39.0,"['61.0', '1']",In computer
51251,127639,heart_rate,45:39.0,"['64.0', '1']",In computer
51252,127640,heart_rate,45:39.0,"['57.0', '1']",In computer
51253,127641,heart_rate,45:39.0,"['67.0', '1']",In computer
51254,127642,heart_rate,45:39.0,"['72.0', '1']",In computer
51255,127643,heart_rate,45:39.0,"['73.0', '1']",In computer
51256,127644,heart_rate,45:39.0,"['66.0', '1']",In computer
51257,127645,heart_rate,45:39.0,"['68.0', '1']",In computer
51258,127646,heart_rate,45:39.0,"['70.0', '1']",In computer
51259,127647,heart_rate,45:39.1,"['68.0', '1']",In computer
51260,127648,heart_rate,45:39.1,"['67.0', '1']",In computer
